City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
393,andenes,40,NO,1602987099,63,69.31,16.12,37.4,20.8
394,moen,0,NO,1602987101,100,69.13,18.61,26.01,10.29
395,gogrial,99,SS,1602987103,90,8.53,28.1,73.36,1.23
396,paamiut,59,GL,1602987106,86,61.99,-49.67,40.24,9.19
397,belyy,100,RU,1602987108,95,55.84,32.94,36.54,5.12
398,siemiatycze,100,PL,1602987110,90,52.43,22.86,42.01,7.29
399,yar-sale,100,RU,1602987112,95,66.83,70.83,21.54,13.58
400,abu samrah,0,SY,1602987114,81,35.3,37.18,55.56,0.51
401,aklavik,20,CA,1602987004,57,68.22,-135.01,19.4,4.7
402,santa ines,0,BR,1602987121,78,-3.67,-45.38,77.56,6.31
403,jalu,0,LY,1602987123,23,29.03,21.55,79.3,14.09
404,grand-lahou,100,CI,1602987125,91,5.14,-5.02,76.64,7.81
405,mahebourg,75,MU,1602987127,93,-20.41,57.7,66.2,3.36
406,stephenville,1,US,1602987129,69,32.22,-98.2,73.4,11.41
407,nikolskoye,75,RU,1602987131,80,59.7,30.79,36.0,11.18
408,kinkala,99,CG,1602987134,94,-4.36,14.76,71.62,3.04
409,flinders,82,AU,1602987108,80,-34.58,150.86,66.0,1.99
410,maua,90,BR,1602987138,82,-23.67,-46.46,60.8,10.29
411,parabel,99,RU,1602987140,91,58.7,81.48,30.42,20.47
412,muros,100,ES,1602987142,92,42.78,-9.06,57.0,1.99
413,yulara,95,AU,1602987144,41,-25.24,130.99,78.8,18.34
414,richha,0,IN,1602987146,60,28.7,79.52,70.86,1.79
415,marrakesh,0,MA,1602986893,55,31.63,-8.01,60.8,3.36
416,coquimbo,0,CL,1602987153,87,-29.95,-71.34,53.6,2.24
417,aksu,0,CN,1602987155,41,41.12,80.26,51.31,3.02
418,segezha,100,RU,1602987157,89,63.74,34.32,42.13,12.59
419,olafsvik,100,IS,1602987159,84,64.89,-23.71,44.85,23.11
420,constitucion,0,CL,1602987161,81,-35.33,-72.42,50.23,8.72
421,suclayin,100,PH,1602987166,84,15.76,121.55,79.14,1.39
422,narsaq,64,GL,1602987168,77,60.92,-46.05,37.4,1.12
423,goderich,100,CA,1602987170,55,43.75,-81.72,48.99,25.9
424,san bartolome de tirajana,75,ES,1602987172,73,27.92,-15.57,69.8,4.7
425,jasper,75,US,1602987174,36,37.2,-94.35,64.4,9.17
426,pimenta bueno,37,BR,1602987176,81,-11.67,-61.19,74.82,3.29
427,ajdabiya,0,LY,1602987180,25,30.76,20.23,78.01,10.54
428,iwanai,0,JP,1602987185,52,42.97,140.51,59.77,10.67
429,nueve de julio,0,AR,1602987143,79,-35.44,-60.88,71.01,3.0
430,qui nhon,100,VN,1602987098,82,13.77,109.23,78.96,3.51
431,awjilah,0,LY,1602987191,23,29.11,21.29,78.94,12.86
432,banjar,75,ID,1602987193,74,-8.19,114.97,86.0,9.17
433,burley,1,US,1602987195,44,42.54,-113.79,59.0,12.75
434,lunel,0,FR,1602987197,81,43.68,4.14,44.6,4.7
435,fortuna,1,US,1602987200,93,40.6,-124.16,57.99,9.17
436,plainview,1,US,1602987202,70,40.78,-73.47,51.8,1.32
437,japura,72,ID,1602987204,67,-0.32,102.35,85.66,2.71
438,port lincoln,23,AU,1602987206,54,-34.73,135.87,57.61,8.3
439,namatanai,100,PG,1602987208,80,-3.67,152.43,80.76,5.57
440,baker city,40,US,1602987210,35,44.77,-117.83,57.2,14.99
441,itoman,20,JP,1602987212,65,26.12,127.67,82.4,17.22
442,moranbah,0,AU,1602987215,23,-22.0,148.05,83.3,5.61
443,igarapava,87,BR,1602987217,78,-20.04,-47.75,72.59,7.85
444,daru,29,PG,1602987219,74,-9.08,143.21,82.49,14.63
445,pitimbu,40,BR,1602987221,83,-7.47,-34.81,75.2,4.7
446,bima,75,ID,1602987223,45,-8.47,118.72,91.98,3.58
447,shelburne,90,CA,1602987225,60,44.08,-80.2,45.0,3.36
448,oranjemund,0,NA,1602987227,91,-28.55,16.43,57.2,5.61
449,los altos,20,US,1602986996,23,37.39,-122.11,87.8,3.36
450,gotsu,20,JP,1602986954,55,35.0,132.22,64.4,2.24
451,ordu,7,TR,1602987236,37,40.91,37.68,71.6,5.82
452,the valley,20,AI,1602987211,88,18.22,-63.06,79.0,2.24
453,san cristobal,72,VE,1602987242,88,7.77,-72.22,66.25,3.31
454,matara,94,LK,1602987244,77,5.95,80.54,80.6,12.3
455,niono,61,ML,1602987246,21,14.25,-5.99,88.97,4.36
456,srivardhan,72,IN,1602987248,88,18.03,73.02,76.77,8.14
457,noumea,90,NC,1602987253,47,-22.28,166.46,80.6,10.29
458,road town,12,VG,1602987255,86,18.42,-64.62,81.0,10.0
459,romanovskaya,92,RU,1602987248,66,47.54,42.03,58.62,12.39
460,svetlyy,100,RU,1602987259,93,54.67,20.13,41.0,8.95
461,ashta,20,IN,1602987261,94,23.02,76.72,75.2,3.36
462,olinda,75,BR,1602987263,74,-8.01,-34.86,78.8,12.75
463,hoi an,75,VN,1602987265,88,15.88,108.33,80.6,3.36
464,escarcega,91,MX,1602987268,96,18.61,-90.75,73.89,2.51
465,kastamonu,100,TR,1602987270,52,41.5,33.67,54.12,1.34
466,nola,20,IT,1602987272,93,40.92,14.53,57.0,4.7
467,tala,0,EG,1602987276,83,30.68,30.94,62.44,4.09
468,axim,100,GH,1602987280,90,4.87,-2.24,76.95,6.29
469,ishigaki,75,JP,1602987283,94,24.34,124.16,78.8,17.22
470,pangai,22,TO,1602987285,86,-19.8,-174.35,77.83,17.29
471,mundra,0,IN,1602987287,72,22.85,69.73,83.86,5.08
472,rudnichnyy,2,RU,1602987289,98,59.62,52.47,27.45,5.21
473,leningradskiy,0,RU,1602987291,89,69.38,178.42,25.0,7.14
474,caravelas,50,BR,1602987293,78,-17.71,-39.25,72.75,7.27
475,tres arroyos,0,AR,1602987296,75,-38.37,-60.28,71.65,15.01
476,itarantim,99,BR,1602987298,79,-15.66,-40.07,70.16,4.32
477,bereznehuvate,0,UA,1602987301,84,47.31,32.85,53.74,6.02
478,shumskiy,100,RU,1602987303,60,54.83,99.13,44.49,5.28
479,san quintin,0,MX,1602987305,80,30.48,-115.95,69.66,9.01
480,mountain home,1,US,1602987204,34,43.13,-115.69,64.4,8.05
481,ostrovnoy,0,RU,1602987311,87,68.05,39.51,32.83,4.25
482,nouadhibou,0,MR,1602987313,57,20.93,-17.03,77.0,16.11
483,betare oya,91,CM,1602987315,93,5.6,14.08,66.18,2.33
484,rio muerto,5,MX,1602987196,58,27.42,-110.23,87.8,6.93
485,xinye,100,CN,1602987140,51,32.52,112.35,62.06,3.96
486,havre-saint-pierre,90,CA,1602987322,93,50.23,-63.6,51.8,18.34
487,rio bonito,28,BR,1602987324,73,-22.71,-42.61,71.6,4.7
488,vylkove,0,UA,1602987129,66,45.4,29.59,55.13,11.63
489,trapani,20,IT,1602987267,82,37.83,12.67,59.0,8.05
490,praia da vitoria,20,PT,1602987332,67,38.73,-27.07,60.8,11.7
491,burns lake,80,CA,1602987334,91,54.23,-125.75,30.6,4.34
492,kavaratti,32,IN,1602987337,79,10.57,72.64,81.12,9.71
493,port keats,46,AU,1602987339,57,-14.25,129.55,89.51,6.33
494,manchester,100,GB,1602987307,93,53.48,-2.24,48.99,3.36
495,makakilo city,1,US,1602987279,74,21.35,-158.09,82.4,5.82
496,luderitz,0,NA,1602987345,42,-26.65,15.16,64.99,15.97
497,robertson,75,US,1602987349,46,36.52,-86.87,55.99,8.1
498,barra dos coqueiros,40,BR,1602987352,65,-10.91,-37.04,80.6,10.29
499,san vicente de chucuri,100,CO,1602987354,86,6.88,-73.41,71.87,4.81
500,campbellton,100,CA,1602987356,86,48.01,-66.67,39.99,21.3
501,mazagao,59,BR,1602987358,79,-0.12,-51.29,84.2,11.41
502,lorengau,2,PG,1602987361,69,-2.02,147.27,85.37,10.51
503,brazzaville,40,CG,1602987363,83,-4.27,15.28,80.6,4.7
504,faanui,100,PF,1602987365,74,-16.48,-151.75,79.99,3.94
505,ratnagiri,17,IN,1602987367,89,16.98,73.3,76.57,6.69
506,bulgan,45,MN,1602987369,63,48.81,103.53,39.15,3.22
507,portage,1,US,1602987371,56,41.17,-81.2,48.0,7.9
508,mandalgovi,0,MN,1602987373,59,45.76,106.27,39.67,10.8
509,sungaipenuh,49,ID,1602987376,64,-2.08,101.38,76.41,3.22
510,mafra,35,BR,1602987380,94,-26.11,-49.81,53.01,1.99
511,timaru,94,NZ,1602987304,60,-44.4,171.25,59.0,5.01
512,egvekinot,0,RU,1602987386,88,66.32,-179.17,27.75,5.5
513,kulhudhuffushi,98,MV,1602987388,76,6.62,73.07,82.53,14.16
514,lata,46,PT,1602987391,94,40.16,-8.33,60.01,3.29
515,spornoye,75,RU,1602987393,87,50.84,37.29,55.4,8.95
516,alta floresta,51,BR,1602987395,56,-9.88,-56.09,78.01,2.1
517,haines junction,0,CA,1602987397,76,60.75,-137.51,21.67,1.3
518,west point,1,US,1602987399,54,33.61,-88.65,57.2,9.17
519,sisimiut,100,GL,1602987402,85,66.94,-53.67,38.17,15.23
520,benguela,93,AO,1602987404,84,-12.58,13.41,74.52,6.08
521,tiznit,0,MA,1602987406,63,29.58,-9.5,59.47,0.2
522,divnomorskoye,65,RU,1602987408,84,44.5,38.14,65.66,4.34
523,oistins,75,BB,1602987410,88,13.07,-59.53,77.0,11.41
524,owando,100,CG,1602987412,97,-0.48,15.9,70.9,1.05
525,basco,5,PH,1602987414,78,20.45,121.97,81.84,21.56
526,bartica,40,GY,1602987417,83,6.4,-58.62,78.8,4.7
527,sakaraha,0,MG,1602987419,71,-22.9,44.53,65.53,2.73
